Visur_von;Visur_nach;RI;RII;ZI;ZII;D
A;P;165.5625;365.5681;103.4893;296.5106;
A;PP1;365.7431;165.7520;96.7367;303.2727;27.423
PP1;A;261.8117;61.8064;103.2586;296.7319;27.420
PP1;PP2;60.9820;260.9672;97.2061;302.7818;25.437
PP2;PP1;70.4547;270.4537;102.7893;297.2014;25.435
PP2;PP3;251.6232;51.6080;98.3558;301.6405;33.468
PP3;PP2;371.0540;171.0390;101.6236;298.3650;33.465
PP3;PP4;151.6679;351.6638;99.3154;300.6764;23.316
PP4;PP3;340.9883;140.9872;100.6859;299.3110;23.311
PP4;E;168.9686;368.9751;100.4915;299.5136;44.822
E;PP4;344.2161;144.2082;99.4958;300.5044;44.825
E;Q;161.3028;361.3175;101.0000;299.0211;
